Macrotrends Data Download

Colombia Population 1950-2023
Original Source: United Nations - World Population Prospects

"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY"
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net""."
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page."


date, Population, Annual % Change
1950-12-31,11769748
1951-12-31,12087058,2.7
1952-12-31,12419968,2.75
1953-12-31,12767237,2.8
1954-12-31,13130649,2.85
1955-12-31,13512612,2.91
1956-12-31,13911407,2.95
1957-12-31,14329355,3
1958-12-31,14760798,3.01
1959-12-31,15211087,3.05
1960-12-31,15687688,3.13
1961-12-31,16182414,3.15
1962-12-31,16691282,3.14
1963-12-31,17210956,3.11
1964-12-31,17739754,3.07
1965-12-31,18275814,3.02
1966-12-31,18811407,2.93
1967-12-31,19343961,2.83
1968-12-31,19872503,2.73
1969-12-31,20392264,2.62
1970-12-31,20905254,2.52
1971-12-31,21405413,2.39
1972-12-31,21898055,2.3
1973-12-31,22396318,2.28
1974-12-31,22897871,2.24
1975-12-31,23403731,2.21
1976-12-31,23913002,2.18
1977-12-31,24443926,2.22
1978-12-31,25003608,2.29
1979-12-31,25579323,2.3
1980-12-31,26176195,2.33
1981-12-31,26785982,2.33
1982-12-31,27405194,2.31
1983-12-31,28042329,2.32
1984-12-31,28689032,2.31
1985-12-31,29326260,2.22
1986-12-31,29960101,2.16
1987-12-31,30603048,2.15
1988-12-31,31256727,2.14
1989-12-31,31923117,2.13
1990-12-31,32601393,2.12
1991-12-31,33272628,2.06
1992-12-31,33939039,2
1993-12-31,34614735,1.99
1994-12-31,35295461,1.97
1995-12-31,35970101,1.91
1996-12-31,36632573,1.84
1997-12-31,37291946,1.8
1998-12-31,37944414,1.75
1999-12-31,38585033,1.69
2000-12-31,39215135,1.63
2001-12-31,39837875,1.59
2002-12-31,40454050,1.55
2003-12-31,41057687,1.49
2004-12-31,41648268,1.44
2005-12-31,42220940,1.38
2006-12-31,42772910,1.31
2007-12-31,43306582,1.25
2008-12-31,43815313,1.17
2009-12-31,44313917,1.14
2010-12-31,44816108,1.13
2011-12-31,45308899,1.1
2012-12-31,45782417,1.05
2013-12-31,46237930,0.99
2014-12-31,46677947,0.95
2015-12-31,47119728,0.95
2016-12-31,47625955,1.07
2017-12-31,48351671,1.52
2018-12-31,49276961,1.91
2019-12-31,50187406,1.85
2020-12-31,50930662,1.48
2021-12-31,51516562,1.15
2022-12-31,51874024,0.69
