id,username,acct,bot,followers_count,following_count,statuses_count,last_status_at
112226013664485486,barackobama,barackobama@threads.net,False,4452699,5,133,2024-04-17
112134628862022480,zuck,zuck@threads.net,False,4233502,431,374,2024-05-16
112202779877594275,potus,potus@threads.net,False,2956191,5,834,2024-05-29
112447282584861885,drunkpeopledoingthings,drunkpeopledoingthings@threads.net,False,1253628,45,62,2024-05-23
112203098449439049,whitehouse,whitehouse@threads.net,False,987737,5,562,2024-05-29
112252895314745862,hubermanlab,hubermanlab@threads.net,False,913800,665,115,2024-05-27
13179,Mastodon,Mastodon,False,816563,3,265,2024-05-06
111576707530444409,mosseri,mosseri@threads.net,False,734037,356,1579,2024-05-29
112140244198248405,calm,calm@threads.net,False,566329,515,7980,2024-05-29
109355700962815786,georgetakei,georgetakei@universeodon.com,False,422995,35,5378,2024-05-29
109355700962815786,georgetakei,georgetakei@universeodon.com,False,422995,35,5378,2024-05-29
112356190952319601,techcrunch,techcrunch@threads.net,False,400353,127,3067,2024-05-29
112139253225692368,johngreenwritesbooks,johngreenwritesbooks@threads.net,False,357574,112,320,2024-05-28
1,Gargron,Gargron,False,347453,525,76704,2024-05-30
1,Gargron,Gargron,False,347453,525,76704,2024-05-30
112191128818927139,thewalkingdead,thewalkingdead@threads.net,False,315776,43,552,2024-05-29
112278122752045334,meidastouch,meidastouch@threads.net,False,306635,696,5827,2024-05-30
112481282089685570,mollyjongfast,mollyjongfast@threads.net,False,274639,1234,4847,2024-05-30
109292929514346332,neilhimself,neilhimself,False,268171,65,872,2024-05-29
109338501935306639,rbreich,rbreich@masto.ai,False,266378,27,2450,2024-05-30
109338501935306639,rbreich,rbreich@masto.ai,False,266378,27,2450,2024-05-30
112185726091335316,theapplehub,theapplehub@threads.net,False,266265,82,421,2024-05-26
112388858237486876,feliciaday,feliciaday@threads.net,False,264610,157,281,2024-05-28
112168944120531553,gtconway3,gtconway3@threads.net,False,264364,744,6370,2024-05-30
112203233807707377,postopinions,postopinions@threads.net,False,260288,193,7016,2024-05-30
112159530197141449,motherjonesmag,motherjonesmag@threads.net,False,226095,285,2165,2024-05-30
111591595219874559,FediTips,FediTips@social.growyourown.services,False,218479,4,1435,2024-05-29
112141654836682863,withmastery,withmastery@threads.net,False,210510,183,20505,2024-05-30
112147646748350180,propublica,propublica@threads.net,False,200160,314,2837,2024-05-29
108236863489297083,janboehm,janboehm@edi.social,False,191602,489,991,2024-05-26
112156411270668380,jojo.fromjerz,jojo.fromjerz@threads.net,False,190215,638,1406,2024-05-30
112135537907999231,sidneyraz,sidneyraz@threads.net,False,189369,192,2735,2024-05-28
112294103038011724,kaldicoffeefarm,kaldicoffeefarm@threads.net,False,185032,1,557,2024-05-12
2400,taylorlorenz,taylorlorenz,False,181899,445,1119,2024-05-29
2400,taylorlorenz,taylorlorenz,False,181899,445,1119,2024-05-29
112190720834074964,erica.fett,erica.fett@threads.net,False,179265,375,340,2024-05-25
112300333375899269,blackcraftcult,blackcraftcult@threads.net,False,176687,15,887,2024-05-29
112140942767918662,elonmusksjet,elonmusksjet@threads.net,False,175954,16,309,2024-04-28
112140544235251262,rejectness,rejectness@threads.net,False,169960,11,19803,2024-05-30
112168356023442699,aaron.rupar,aaron.rupar@threads.net,False,169219,421,3052,2024-05-30
110266162634306901,arstechnica,arstechnica,False,154553,6,4632,2024-05-30
110266162634306901,arstechnica,arstechnica,False,154553,6,4632,2024-05-30
110266162634306901,arstechnica,arstechnica,False,154552,6,4632,2024-05-30
958614,stux,stux@mstdn.social,False,137058,33485,120696,2024-05-30
958614,stux,stux@mstdn.social,False,137058,33485,120696,2024-05-30
958614,stux,stux@mstdn.social,False,137058,33485,120696,2024-05-30
109363193416754359,godpod,godpod@universeodon.com,False,131439,175,1025,2023-12-09
107083792139089762,_kokt,_kokt@simkey.net,False,129824,1650,57341,2024-05-29
109244847047894222,derpostillon,derpostillon,False,120756,11,2933,2024-05-30
109244847047894222,derpostillon,derpostillon,False,120755,11,2933,2024-05-30
109365953730768772,ProPublica,ProPublica@newsie.social,False,118983,146,2025,2024-05-29
109365953730768772,ProPublica,ProPublica@newsie.social,False,118983,146,2025,2024-05-29
112151654456872055,questnutrition,questnutrition@threads.net,False,117417,2421,480,2024-05-30
112182258575949579,theperezhilton,theperezhilton@threads.net,False,116686,639,10136,2024-05-09
112137955811689354,pcgaming,pcgaming@threads.net,False,114079,62,172,2024-05-29
112179277962653055,9to5mac,9to5mac@threads.net,False,112203,26,3849,2024-05-30
112141191240496860,coconutricebear,coconutricebear@threads.net,False,110631,421,4836,2024-05-30
112142809772173116,fluent.in.finance,fluent.in.finance@threads.net,False,110251,274,3209,2024-05-29
106743525983189471,Volksverpetzer,Volksverpetzer@digitalcourage.social,False,107894,58,2874,2024-05-30
112147043322643668,ellecordova,ellecordova@threads.net,False,107068,286,89,2024-05-15
112243951791265052,jerilryan,jerilryan@threads.net,False,106170,793,25753,2024-05-29
109423964184455413,ivory,ivory@tapbots.social,False,105875,4,8223,2024-05-29
109299662071180624,stephenfry,stephenfry@mastodonapp.uk,False,103984,39,93,2023-09-06
109303572228553990,gretathunberg,gretathunberg@mastodon.nu,False,102942,60,46,2024-03-08
112153488786584537,austinnotduncan,austinnotduncan@threads.net,False,102540,115,195,2024-05-28
112169789723947121,seth.abramson,seth.abramson@threads.net,False,101986,315,9419,2024-05-21
108194513323477977,elhotzo,elhotzo,False,100969,84,1075,2024-01-01
112135735128543194,macrumors,macrumors@threads.net,False,98692,9,813,2024-05-29
112379122418459358,keithedwards,keithedwards@threads.net,False,97747,721,8223,2024-05-29
112451713680179619,EUCommission,EUCommission@ec.social-network.europa.eu,False,95928,4,2165,2024-05-30
112451713680179619,EUCommission,EUCommission@ec.social-network.europa.eu,False,95927,4,2165,2024-05-30
