replies_count,reblogs_count,favourites_count
1.075,14.35,2.85
0.575,2.5,15.65
40.05,549.575,800.95
0.05,0.05,0.0
2.175,10.675,4.975
3.95,29.85,37.875
2.1666666666666665,17.5,8.5
0.0,0.0,0.0
0.7,0.35,0.35
4.825,37.05,80.225
0.0,0.0,0.0
0.36363636363636365,0.36363636363636365,0.36363636363636365
0.05555555555555555,0.05555555555555555,0.05555555555555555
1.3846153846153846,2.923076923076923,2.6153846153846154
5.5,20.4,15.025
9.7,91.475,45.6
0.95,4.05,1.45
0.2857142857142857,0.0,0.14285714285714285
14.8,52.725,41.05
0.7352941176470589,4.529411764705882,5.029411764705882
1.275,7.15,2.825
0.0,11.555555555555555,0.2222222222222222
0.575,5.975,1.125
1.0,1.25,0.175
11.075,8.15,4.975
0.45,0.85,0.05
0.25,0.025,0.4
0.225,0.25,0.05
2.275,26.275,18.525
0.275,0.4,0.025
9.75,121.175,43.925
0.0,0.0,0.0
0.175,0.0,0.0
2.15,14.7,4.75
7.175,77.95,96.875
0.725,0.625,0.4
0.4,0.225,0.5
0.1,0.1,0.0
0.425,5.875,2.825
0.0,0.1,0.025
30.071428571428573,44.142857142857146,40.357142857142854
